iter	Logloss
0	0.686156323
1	0.6797445947
2	0.6775427926
3	0.6734300388
4	0.6706033506
5	0.6664892951
6	0.6621968283
7	0.6588715379
8	0.6569526682
9	0.6553584397
10	0.6509694515
11	0.6478307795
12	0.6463945049
13	0.6430396093
14	0.6397523763
15	0.6364355125
16	0.634190969
17	0.631803403
18	0.6293342956
19	0.6261556981
20	0.6236523897
21	0.6221612032
22	0.6196694703
23	0.6187891586
24	0.6156381178
25	0.6146309453
26	0.6115010819
27	0.6105835626
28	0.608106239
29	0.6050433056
30	0.6029754957
31	0.600143644
32	0.5984040296
33	0.596841272
34	0.5957967811
35	0.5941336465
36	0.5915376588
37	0.5889911569
38	0.5879147361
39	0.5853422079
40	0.5842402756
41	0.5825193627
42	0.5813582703
43	0.5787759412
44	0.577478719
45	0.5757742198
46	0.5751639292
47	0.5751284501
48	0.5743936662
49	0.5732116609
50	0.5712946406
51	0.5702384018
52	0.5682966167
53	0.5659946693
54	0.5647032114
55	0.5625957818
56	0.5609326427
57	0.5592458881
58	0.5579536985
59	0.5562236996
60	0.5555471048
61	0.5555371501
62	0.5547599246
63	0.5538196967
64	0.55233476
65	0.5517760099
66	0.5506437465
67	0.5487983486
68	0.5473770057
69	0.5454719392
70	0.5438361754
71	0.5421053949
72	0.5414204243
73	0.5395859307
74	0.5382930257
75	0.5374081307
76	0.5357841014
77	0.5346228849
78	0.5334385483
79	0.5327930557
80	0.5317631133
81	0.5311789106
82	0.5298909014
83	0.528857551
84	0.5280250131
85	0.5264892777
86	0.525302477
87	0.5249761371
88	0.5235376854
89	0.5225811127
90	0.5212124511
91	0.5199798691
92	0.5191703182
93	0.5182500299
94	0.5171154729
95	0.515731273
96	0.5149280376
97	0.514345076
98	0.512976837
99	0.5117419105
100	0.5110976545
101	0.5100452722
102	0.5099829436
103	0.5091900088
104	0.5082978831
105	0.5067877786
106	0.5058506041
107	0.5049728674
108	0.5043622035
109	0.5033804332
110	0.5022154363
111	0.5016711067
112	0.5010498365
113	0.5000207172
114	0.4990818464
115	0.4981540614
116	0.4969843377
117	0.495495307
118	0.4945053447
119	0.493066007
120	0.492637163
121	0.4926368316
122	0.4921711321
123	0.4921249312
124	0.4910288736
125	0.4910285336
126	0.4903306367
127	0.4895444604
128	0.4889024077
129	0.4877103871
130	0.4876628382
131	0.4865299217
132	0.4861693402
133	0.4852866846
134	0.4848005662
135	0.4839943696
136	0.4829697848
137	0.4823545458
138	0.4818227942
139	0.4813937888
140	0.4805644879
141	0.4798814338
142	0.4790514723
143	0.4784951976
144	0.4779938305
145	0.4770861689
146	0.4761833138
147	0.475514387
148	0.4748429762
149	0.4740992478
150	0.4738856092
151	0.4730564784
152	0.4720773348
153	0.4713968244
154	0.4706240574
155	0.4699330566
156	0.4689300432
157	0.4680431318
158	0.4673365182
159	0.4667988843
160	0.4657512998
161	0.4648266119
162	0.4638541439
163	0.4631402391
164	0.46248661
165	0.4614422688
166	0.4611484731
167	0.4600936914
168	0.4593994351
169	0.4584130265
170	0.4573739289
171	0.4567083735
172	0.456335037
173	0.4558628579
174	0.4552696942
175	0.4544203382
176	0.4539617355
177	0.4529313134
178	0.4522348575
179	0.4516140254
180	0.4516108632
181	0.4502951857
182	0.4496291786
183	0.4489182681
184	0.4482107769
185	0.4469202169
186	0.4463219905
187	0.4458035203
188	0.4449706299
189	0.4445672882
190	0.4439422021
191	0.443187795
192	0.4425583976
193	0.4419606073
194	0.4415518933
195	0.4410519406
196	0.4401648094
197	0.4386160526
198	0.4380896793
199	0.437138145
200	0.4368242877
201	0.436703268
202	0.4358890567
203	0.4352729972
204	0.4346539234
205	0.4339371189
206	0.4328669273
207	0.432740763
208	0.4326469694
209	0.4317404421
210	0.4312564568
211	0.4310510332
212	0.4303112488
213	0.4298931861
214	0.429214405
215	0.4289117093
216	0.4282329754
217	0.4276903948
218	0.4270659113
219	0.4259089417
220	0.4253060035
221	0.4249008639
222	0.4245933591
223	0.4238440473
224	0.4238440445
225	0.4232815156
226	0.4227940096
227	0.4219828393
228	0.4216532792
229	0.4210818175
230	0.4204503136
231	0.4201980796
232	0.4190187752
233	0.4182496988
234	0.4181645662
235	0.4177160158
236	0.4172345869
237	0.4167366165
238	0.4157193942
239	0.4153023783
240	0.4148528576
241	0.4144461658
242	0.4134979849
243	0.4132024175
244	0.4121349432
245	0.411131331
246	0.410677349
247	0.4099383334
248	0.4092460962
249	0.4087167623
250	0.4079805539
251	0.4074441952
252	0.4067715698
253	0.4062504547
254	0.4062398706
255	0.4055965645
256	0.4052646884
257	0.4051558299
258	0.4051526015
259	0.4038276891
260	0.4030461087
261	0.4025160233
262	0.4024941764
263	0.4023691625
264	0.4018708338
265	0.4015108689
266	0.4013852437
267	0.4013852437
268	0.4009357158
269	0.4005554015
270	0.3998031641
271	0.3991579277
272	0.3980464216
273	0.39764809
274	0.3972887723
275	0.3966143304
276	0.3963153449
277	0.3956481253
278	0.394678925
279	0.3939133863
280	0.3937007002
281	0.3929620578
282	0.3926099875
283	0.3918808651
284	0.3906949064
285	0.3901802852
286	0.389598685
287	0.3892781918
288	0.3889714935
289	0.3889687056
